Restaurant Name,Locality,Longitude,Latitude,Cuisines,Average Cost for two,Has Table booking,Has Online delivery,Aggregate rating,Votes
Sardar Ji Chicken Corner,Tagore Garden,77.1162324,28.645696899999997,"Mughlai, North Indian",300,No,No,0.0,0
Satguru Tiffin Service,Tagore Garden,77.1122065,28.649825500000002,North Indian,200,No,Yes,0.0,1
Seth Baker's,Tagore Garden,77.1123132,28.6518001,"Bakery, Desserts",200,No,No,0.0,3
Sri Durga Dosa Corner,Tagore Garden,77.1121665,28.649913800000004,South Indian,300,No,No,0.0,3
V S Cafe,Tagore Garden,77.1068758,28.641769,Fast Food,200,No,No,0.0,2
Vijay South Indian Food,Tagore Garden,77.11135490000001,28.652857399999995,South Indian,250,No,No,0.0,2
Punjab Grill,Tagore Garden,77.10650340000001,28.6422159,North Indian,1600,Yes,Yes,4.3,1252
Insomnia - Taj Vivanta,"Taj Vivanta, Khan Market",77.2294337,28.6012192,"Italian, Continental, Finger Food",3000,Yes,No,3.3,50
Larry's China - Taj Vivanta,"Taj Vivanta, Khan Market",77.2294235,28.6011707,Chinese,3200,Yes,No,3.7,147
Yellow Brick Road - Taj Vivanta,"Taj Vivanta, Khan Market",77.2294235,28.6011707,"Continental, North Indian, South Indian, Italian",2500,No,No,3.9,821
English Tadka,"TDI Mall, Rajouri Garden",77.1212744,28.6523425,"North Indian, European",800,Yes,No,3.3,152
Burger King,"TDI Mall, Rajouri Garden",77.1206821,28.6507962,"Burger, Fast Food",500,No,Yes,3.6,186
Pizza Hut,"TDI Mall, Rajouri Garden",77.1207398,28.650757399999996,"Italian, Pizza, Fast Food",1000,No,Yes,3.6,141
Cake Shop - The Ashok,"The Ashok, Chanakyapuri",77.19586600000001,28.596981,"Bakery, Desserts",500,No,No,3.1,26
Samavar - The Ashok,"The Ashok, Chanakyapuri",77.195892,28.597062,"Continental, North Indian, Chinese",2200,Yes,No,3.2,48
Tea Lounge - The Ashok,"The Ashok, Chanakyapuri",77.1960071,28.596997499999997,Cafe,1600,No,No,3.2,18
Frontier - The Ashok,"The Ashok, Chanakyapuri",77.1956478,28.596694300000003,"North Indian, Mughlai",3600,Yes,No,3.7,101
The Oudh - The Ashok,"The Ashok, Chanakyapuri",77.1958724,28.5963125,North Indian,3700,Yes,No,3.6,100
Zerruco - The Ashok,"The Ashok, Chanakyapuri",77.19623979999999,28.598181,"Mediterranean, Italian",2500,Yes,No,4.4,609
The Claridges Garden -The Claridges,"The Claridges, Aurangzeb Road",77.2169361,28.60016,"Cafe, American, Tea",2000,No,No,3.1,5
Aura - The Claridges,"The Claridges, Aurangzeb Road",77.2169659,28.600170600000002,Continental,4100,No,No,3.5,42
Dhaba - The Claridges,"The Claridges, Aurangzeb Road",77.2168724,28.6001728,North Indian,4300,Yes,No,3.9,548
Jade - The Claridges,"The Claridges, Aurangzeb Road",77.2168963,28.6001953,Chinese,5000,Yes,No,3.8,134
Pickwicks - The Claridges,"The Claridges, Aurangzeb Road",77.2168839,28.600169399999995,"European, Continental",3600,Yes,No,3.7,139
Ye Old Bakery - The Claridges,"The Claridges, Aurangzeb Road",77.21692970000001,28.6001541,"Bakery, Desserts",1000,No,No,3.7,65
Sevilla - The Claridges,"The Claridges, Aurangzeb Road",77.2168927,28.6001767,"Spanish, Italian",4500,Yes,No,4.3,800
GBar - The Grand New Delhi,"The Grand New Delhi, Vasant Kunj",77.15245999999999,28.538992999999998,"American, Finger Food",2650,Yes,No,3.3,145
Cascades - The Grand New Delhi,"The Grand New Delhi, Vasant Kunj",77.15245999999999,28.538992999999998,"North Indian, Continental, Asian",3200,Yes,No,3.6,97
1911 Bar - The Imperial,"The Imperial, Janpath",77.21818499999999,28.625443,"Finger Food, European",2000,Yes,No,3.2,10
Nostalgia at 1911 Brasserie - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,"European, Continental",6000,Yes,No,3.2,12
Patiala Peg - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,Finger Food,3000,Yes,No,3.3,25
1911 - The Imperial,"The Imperial, Janpath",77.21818499999999,28.625443,"North Indian, Chinese, South Indian, Italian",6000,Yes,No,3.9,272
Daniell's Tavern - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,North Indian,4000,Yes,No,3.7,59
La Baguette - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,"Desserts, Bakery",900,No,No,3.8,45
San Gimignano - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,Italian,5000,Yes,No,3.7,104
The Atrium - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,"European, Desserts",2500,Yes,No,3.6,57
The Spice Route - The Imperial,"The Imperial, Janpath",77.218187,28.625445000000003,"Malaysian, Thai, Kerala, Vietnamese, Sri Lankan",6000,Yes,No,4.0,259
Bao Cha,"The India Mall, New Friends Colony",77.26898376,28.56164003,"Chinese, Thai, Asian",1000,Yes,Yes,3.0,90
Nazeer Delicacies,"The India Mall, New Friends Colony",77.26894453,28.56161147,"North Indian, Mughlai",900,Yes,No,3.3,21
Open Oven,"The India Mall, New Friends Colony",77.269154,28.567481,"Bakery, Desserts, Fast Food",250,No,No,3.4,109
Slurp Pasta Express,"The India Mall, New Friends Colony",77.26888552,28.56162678,"Cafe, Fast Food",300,No,No,2.9,5
Urban Gala,"The India Mall, New Friends Colony",77.26885669,28.56179522,"Chinese, Cafe",700,No,No,2.8,19
Shree Rathnam,"The India Mall, New Friends Colony",77.26870917,28.56165594,"South Indian, North Indian, Chinese",800,Yes,Yes,3.5,96
Stuffed Kathi Roll,"The India Mall, New Friends Colony",77.2690978,28.561659499999998,Fast Food,250,No,No,0.0,1
Subway,"The India Mall, New Friends Colony",77.26851740000001,28.5614696,"American, Fast Food, Salad, Healthy Food",500,No,Yes,1.9,146
24/7 Pastry Shop - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.22762946,28.63110267,"Bakery, Desserts",900,No,No,3.3,46
Le Petit Cafe - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.22762745,28.63113239,Cafe,1600,Yes,No,3.2,31
The Grill Room - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.227277,28.631407,Continental,4500,Yes,No,3.4,51
24/7 Bar- The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.227277,28.631407,Finger Food,3000,No,No,3.5,45
24/7 Restaurant - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.22756944,28.63148611,"Continental, North Indian, Italian, Asian",5100,Yes,No,3.7,419
Baluchi - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.22764019,28.63120891,"Mughlai, North Indian, South Indian",4500,Yes,No,3.9,265
Kitty Su - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.228133,28.631742300000003,Finger Food,5000,No,No,3.7,747
Woks - The Lalit New Delhi,"The Lalit New Delhi, Barakhamba Road",77.227277,28.631407,"Chinese, Seafood",4500,Yes,No,3.6,62
Cafí© Knosh - The Leela Ambience Convention Hotel,The Leela Ambience Convention Hotel,77.30317778,28.66113333,"North Indian, Italian",2700,Yes,No,3.9,186
Cherry Bar - The Leela Ambience Convention Hotel,The Leela Ambience Convention Hotel,77.30317778,28.66113333,Finger Food,2650,Yes,No,3.6,48
Mei Kun - The Leela Ambience Convention Hotel,The Leela Ambience Convention Hotel,77.30317778,28.66113333,Thai,3500,Yes,No,3.6,42
Dilli 32 - The Leela Ambience Convention Hotel,The Leela Ambience Convention Hotel,77.30317778,28.66113333,North Indian,3500,Yes,No,4.0,184
Jamavar - The Leela Palace,"The Leela Palace, Chanakyapuri",77.18892690000001,28.579409499999997,"North Indian, Mughlai",4000,Yes,No,3.9,241
Le Cirque - The Leela Palace,"The Leela Palace, Chanakyapuri",77.1889752,28.5793901,"French, Italian",5000,Yes,No,3.8,199
MEGU - The Leela Palace,"The Leela Palace, Chanakyapuri",77.18896509999999,28.579400899999996,"Japanese, Sushi",5500,Yes,No,3.9,178
The Library - The Leela Palace,"The Leela Palace, Chanakyapuri",77.1885648,28.5802165,"Italian, Continental",3500,No,No,3.7,59
The Lobby Lounge - The Leela Palace,"The Leela Palace, Chanakyapuri",77.18900390000002,28.579361100000003,"Cafe, Continental",2000,No,No,3.6,32
The Lodhi Bakery - The Lodhi,"The Lodhi, Lodhi Road",77.238056,28.592135,"Bakery, Desserts",400,No,No,2.9,4
Elan - The Lodhi,"The Lodhi, Lodhi Road",77.238315,28.5921591,"North Indian, Continental, Italian",3000,Yes,No,3.8,185
Agni - The Park,"The Park, Connaught Place",77.21734352,28.62098574,"Mughlai, Italian, Finger Food, Middle Eastern",3000,Yes,No,3.3,199
Mist - The Park,"The Park, Connaught Place",77.21736733,28.62098721,"Continental, Italian, American, North Indian",3500,Yes,No,3.3,169
Aqua - The Park,"The Park, Connaught Place",77.216002,28.628884999999997,"Continental, Italian, Mediterranean",4500,Yes,No,3.8,773
Atrium Bar  & Lounge - The Suryaa New Delhi,"The Suryaa New Delhi, New Friends Colony",77.26953889,28.56109444,Finger Food,3000,Yes,No,3.1,26
French Crust - The Suryaa New Delhi,"The Suryaa New Delhi, New Friends Colony",77.26953889,28.56109444,"Cafe, Bakery",900,No,No,3.3,19
Club BW - The Suryaa New Delhi,"The Suryaa New Delhi, New Friends Colony",77.26965600000001,28.561179,"Finger Food, Continental, Italian, Chinese",4400,No,No,3.6,90
Sampan - The Suryaa New Delhi,"The Suryaa New Delhi, New Friends Colony",77.26961800000001,28.561053,"Thai, Chinese, Japanese",2500,Yes,No,3.7,111
The Grill Room - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.2241228,28.605153499999997,"Mediterranean, European",5000,No,No,3.1,15
Emperor's Lounge - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.2241405,28.605168900000002,Cafe,2500,No,No,3.8,79
Machan - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.2241369,28.605164799999997,"North Indian, European, Continental",5000,No,No,3.9,696
Ricks Bar - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.22273611,28.60440165,"Malaysian, Thai",4200,Yes,No,3.6,64
Wasabi by Morimoto - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.22430390000001,28.6052532,"Japanese, Sushi",6000,Yes,No,3.9,183
House of Ming - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.22461820000001,28.605148699999997,Chinese,5500,Yes,No,4.0,398
Varq - The Taj Mahal Hotel,"The Taj Mahal Hotel, Mansingh Road",77.2241401,28.605189000000003,"Seafood, North Indian",4500,Yes,No,4.2,541
Capital Kitchen - Taj Palace Hotel,"The Taj Palace Hotel, Chanakyapuri",77.1701408,28.5950782,"North Indian, European, Asian",2000,Yes,No,3.7,42
Spicy Duck - Taj Palace Hotel,"The Taj Palace Hotel, Chanakyapuri",77.1702198,28.5948008,Asian,4000,Yes,No,3.5,24
Orient Express - Taj Palace Hotel,"The Taj Palace Hotel, Chanakyapuri",77.170087,28.5950077,European,8000,Yes,No,4.0,145
The Tea Lounge - Taj Palace Hotel,"The Taj Palace Hotel, Chanakyapuri",77.1703995,28.594549199999996,Cafe,1500,No,No,4.0,76
Bonitos - The Uppal,"The Uppal, Aerocity",77.10184699999999,28.535183,"Continental, Thai, Chinese, North Indian",3000,Yes,No,3.2,28
Bonitos Blu - The Uppal,"The Uppal, Aerocity",77.10184699999999,28.535183,"North Indian, Asian, Continental",2500,Yes,No,3.0,5
The Gourmet Shop - The Uppal,"The Uppal, Aerocity",77.10184699999999,28.535183,Bakery,500,No,No,3.0,4
Chopsticks,"The Village Restaurant Complex, Khel Gaon Marg",77.2133902,28.552543800000002,"Chinese, Thai",1700,Yes,Yes,3.6,350
TabulaBeach Cafe,"The Village Restaurant Complex, Khel Gaon Marg",77.21319100000001,28.5523566,"European, American",1600,Yes,No,3.8,637
Arriba - Mexican Grill & Tequileria,"The Village Restaurant Complex, Khel Gaon Marg",77.2129742,28.55231,Mexican,2500,Yes,No,4.1,146
Chatori Gali,Tilak Marg,0.0,0.0,Fast Food,200,No,No,0.0,0
Aggarwal Sweet Center,Tilak Nagar,77.0919833,28.635096700000002,"Mithai, Street Food",100,No,No,2.9,6
Aggarwal Sweets,Tilak Nagar,77.0994142,28.641976500000002,"Street Food, Desserts",250,No,No,2.7,11
Alag Khana Khazana,Tilak Nagar,77.0862978,28.638998100000002,"North Indian, Mughlai",450,No,No,2.9,5
Bhape Di Hatti,Tilak Nagar,77.0968578,28.6384031,North Indian,200,No,No,3.1,7
Bhappe Di Hatti,Tilak Nagar,77.0965905,28.638069899999998,North Indian,150,No,No,3.1,8
Bhatura King,Tilak Nagar,77.0954179,28.636751,Street Food,150,No,No,2.9,7
Bhukkadzz Point,Tilak Nagar,77.08681159999999,28.6354821,Fast Food,300,No,Yes,3.0,7
Bimbos,Tilak Nagar,77.10160040000001,28.6374082,"Chinese, Fast Food",350,No,No,3.1,16
Brothers' Bakery,Tilak Nagar,77.1033405,28.648730199999996,"Fast Food, Bakery",350,No,No,2.9,21
Chaap Nation,Tilak Nagar,77.09550753,28.64003986,"North Indian, Fast Food, Afghani",300,No,No,3.0,4
Dev Burger,Tilak Nagar,77.09983940000001,28.635043,Fast Food,300,No,No,2.9,5
Green Chick Chop,Tilak Nagar,77.10402059999998,28.643713800000004,"Raw Meats, North Indian, Fast Food",350,No,No,3.0,6
Green Chick Chop,Tilak Nagar,77.0905901,28.6364554,"Raw Meats, North Indian, Fast Food",350,No,No,3.2,16
Hum Sabki Rasoi,Tilak Nagar,77.0888609,28.637733100000002,North Indian,300,No,No,3.3,26
Janki Vaishno Dhaba,Tilak Nagar,77.1050287,28.6375598,North Indian,150,No,No,3.0,4
Manmohan Food Plaza,Tilak Nagar,77.09622009999998,28.6371415,Fast Food,350,No,No,2.6,10
Mr.Hunger,Tilak Nagar,77.0937942,28.636839799999997,"Burger, Fast Food",500,No,No,3.0,5
Neelma Punjabi Dhaba,Tilak Nagar,77.097173,28.643477100000002,North Indian,250,No,No,2.9,8
New Raj Kachori Bhandar,Tilak Nagar,77.0972739,28.637478100000003,Street Food,100,No,No,3.4,18
Punjabi Ninja,Tilak Nagar,77.10042840000001,28.640746500000002,North Indian,550,No,No,3.0,7
Radha Swami Cool Hut,Tilak Nagar,77.095013,28.640400099999997,"Beverages, Ice Cream",200,No,No,3.1,7
Sagar Choley Bhatoorey,Tilak Nagar,77.1006304,28.644812100000003,Street Food,150,No,No,3.2,26
Sehyog Alpahar,Tilak Nagar,77.09667359999999,28.637326,"South Indian, Chinese",150,No,No,3.2,10
South Indian Hut,Tilak Nagar,77.0889219,28.6378234,"South Indian, Chinese",300,No,No,2.9,5
Vijay Corner,Tilak Nagar,77.0973882,28.636128399999997,"North Indian, Mughlai",300,No,No,3.0,7
Mithlesh Ande Wala,Tilak Nagar,77.098007,28.6342673,Street Food,150,No,No,3.5,17
Roti N Boti,Tilak Nagar,77.09254809999999,28.640949199999998,"North Indian, Fast Food, Mughlai",300,No,Yes,3.5,21
Annapurna Caters,Tilak Nagar,77.09345259999999,28.6376488,North Indian,200,No,No,0.0,2
Ashoka's Ice Zone,Tilak Nagar,77.09491120000001,28.640446299999997,"Ice Cream, Beverages",150,No,No,0.0,2
Bikaner Sweets & Pastry Corner,Tilak Nagar,77.086714,28.6388684,"Mithai, Street Food",100,No,No,0.0,3
Bikaner Sweets,Tilak Nagar,77.1031722,28.6489062,"Bakery, Mithai",250,No,No,0.0,3
Dee Pizza Hub,Tilak Nagar,77.0845916,28.6344618,Pizza,350,No,No,0.0,1
Flavors of London,Tilak Nagar,77.08543449999999,28.639605600000003,"Desserts, Ice Cream, Fast Food",200,No,No,0.0,2
Funduz Cafe,Tilak Nagar,77.1002905,28.644918199999996,Fast Food,300,No,No,0.0,3
Giani,Tilak Nagar,77.08633309999999,28.639029999999998,"Ice Cream, Desserts",300,No,No,0.0,1
Grover Sweets Rajouri Wala,Tilak Nagar,77.1034131,28.648124699999997,"Mithai, Street Food",200,No,No,0.0,2
Guru Kripa Chicken Corner,Tilak Nagar,77.0971137,28.636187,North Indian,250,No,No,0.0,2
Health-O-Lic,Tilak Nagar,0.0,0.0,"Healthy Food, Juices",500,No,No,0.0,1
Himalya Chinese,Tilak Nagar,77.09623020000001,28.6468527,Chinese,300,No,No,0.0,1
KindBhutani's,Tilak Nagar,77.0959301,28.6367945,"South Indian, Fast Food, Chinese",350,No,No,0.0,2
Mama Bhanja Corner,Tilak Nagar,77.0971707,28.6361765,North Indian,500,No,No,0.0,3
Mama Tao,Tilak Nagar,77.1029417,28.6491405,Chinese,250,No,No,0.0,2
Manpasand Punjabi Zaika,Tilak Nagar,77.0864035,28.6391088,North Indian,350,No,No,0.0,1
Pal Restaurant,Tilak Nagar,77.10145290000001,28.644535100000002,"North Indian, Chinese",250,No,No,0.0,0
Pizza Station,Tilak Nagar,77.0998064,28.644869899999996,Fast Food,250,No,No,0.0,1
Punjabi Dhaba,Tilak Nagar,0.0,0.0,North Indian,300,No,No,0.0,3
Punjabi Virsa,Tilak Nagar,77.102513,28.644092999999998,"North Indian, Chinese, Mughlai",700,No,No,0.0,3
Sahib Jhatka Chicken Shop,Tilak Nagar,77.0973474,28.636114799999998,North Indian,250,No,No,0.0,3
Salt & Peppers,Tilak Nagar,77.0964562,28.6371756,Chinese,500,No,No,0.0,3
Sethi Ice Cream Parlour,Tilak Nagar,77.0995462,28.645093199999998,"Desserts, Beverages",150,No,No,0.0,3
Shah Ji Di Rasoi,Tilak Nagar,77.0966816,28.6380338,Street Food,200,No,No,0.0,2
Shawarma Wala,Tilak Nagar,77.0954687,28.637003600000003,Fast Food,300,No,No,0.0,3
Snazzy Delights,Tilak Nagar,0.0,0.0,Bakery,300,No,No,0.0,2
South Indian Hut,Tilak Nagar,77.084917,28.6343667,South Indian,200,No,No,0.0,1
T-2 Di Hatti,Tilak Nagar,77.0934222,28.6377065,Street Food,100,No,No,0.0,2
The Second Wife Kitchen,Tilak Nagar,77.0933859,28.6366697,North Indian,500,No,Yes,0.0,2
Today Pizza,Tilak Nagar,77.1031681,28.6490554,Fast Food,250,No,No,0.0,3
Turban Tadka,Tilak Nagar,77.0846233,28.6356249,"North Indian, Fast Food",250,No,No,0.0,3
Wah Shah Ji Wah,Tilak Nagar,77.10395009999999,28.6437348,North Indian,300,No,No,0.0,2
Wah Wah Chicken Corner,Tilak Nagar,77.09181120000001,28.642048100000004,North Indian,400,No,No,0.0,3
Brijwasi Sweet and Namkeen,Trilokpuri,77.31334833,28.59807667,"Street Food, Mithai",100,No,No,0.0,1
Khana Khazana,Tughlakabad Institutional Area,77.25662515,28.52351906,"North Indian, Mughlai, Chinese, Bakery",800,No,No,3.7,281
Ahad Sons Restaurant,Uday Park,77.2182605,28.560757199999998,Kashmiri,750,No,No,3.4,104
Jughead's Fast Food Corner,Uday Park,77.21790746,28.56074218,"Chinese, Fast Food, North Indian",500,No,Yes,3.6,438
The Coffee Bond,Uday Park,77.21807376,28.56028103,Cafe,700,No,Yes,4.2,73
Wow! Momo,"Unity One Mall, Janakpuri",77.076886,28.6291105,"Tibetan, Chinese",350,No,Yes,2.9,77
Domino's Pizza,"Unity One Mall, Janakpuri",77.07603420000001,28.628881800000002,"Pizza, Fast Food",700,No,No,3.6,24
Haldiram's,"Unity One Mall, Janakpuri",77.0764473,28.6287601,"Mithai, North Indian, South Indian",500,No,No,3.7,59
Keventers,"Unity One Mall, Janakpuri",77.0770547,28.629091499999998,Beverages,400,No,No,3.8,37
Pat 'N' Harry,"Unity One Mall, Janakpuri",77.075439,28.629096999999998,American,400,No,Yes,2.3,42
"34, Chowringhee Lane",Uttam Nagar,77.0334663,28.619107500000002,Fast Food,200,No,Yes,3.1,5
Aggarwal Sweets,Uttam Nagar,77.0409828,28.6203298,Mithai,100,No,No,2.8,5
Amritsari Dhaba,Uttam Nagar,77.032612,28.6194,North Indian,250,No,No,2.9,10
Apna Swad,Uttam Nagar,77.06761429999999,28.619354100000002,"North Indian, Chinese, Fast Food",500,No,Yes,2.9,4
ATM Food Corner,Uttam Nagar,77.07233620000001,28.618064899999997,North Indian,200,No,No,3.0,4
Burger House,Uttam Nagar,77.0336428,28.6190995,"Burger, Fast Food",200,No,Yes,2.8,4
Cafe De Bienka,Uttam Nagar,77.0675373,28.6216032,"Fast Food, Chinese",350,No,No,2.7,12
Chatkaara Point,Uttam Nagar,77.06809390000001,28.6104281,"Fast Food, Chinese",250,No,No,2.9,7
Dharma Punjabi Dhaba,Uttam Nagar,77.0590998,28.619233,North Indian,300,No,Yes,2.7,5
Domino's Pizza,Uttam Nagar,77.0571866,28.622242100000005,"Pizza, Fast Food",700,No,No,2.5,6
Flavourz Factoree,Uttam Nagar,77.0448877,28.620008600000002,"Fast Food, Chinese, Bakery",300,No,No,3.1,14
Gabbar Chowmein,Uttam Nagar,77.03908879999999,28.621372499999996,Fast Food,100,No,No,3.0,4
Gayatri's Break Point Restaurant,Uttam Nagar,77.0621578,28.6200658,"North Indian, South Indian, Chinese, Fast Food",300,No,No,3.1,4
Grover Sweets & Bakers,Uttam Nagar,77.0599921,28.620948699999996,"Street Food, Chinese, Mithai",150,No,No,3.3,12
Khalsa Veg Corner,Uttam Nagar,77.06431640000001,28.622961199999995,"North Indian, Fast Food",300,No,No,3.1,10
Lajawab Chinese Food,Uttam Nagar,77.03910090000001,28.6210909,"Chinese, North Indian, Fast Food",300,No,No,3.0,4
Lajwab Bakery,Uttam Nagar,77.0630573,28.6205109,Bakery,100,No,No,3.1,7
Maharani Rasoi,Uttam Nagar,77.0309438,28.619375599999998,North Indian,150,No,No,3.0,5
Natkhat Bakers,Uttam Nagar,77.0411281,28.6217969,"Bakery, Fast Food",300,No,Yes,3.1,4
Pastry Palace,Uttam Nagar,77.0605838,28.6228245,"Bakery, Street Food",350,No,Yes,3.2,11
Punjabi Tadka,Uttam Nagar,77.06273859999999,28.623642600000004,"North Indian, Chinese",500,No,Yes,2.7,11
Radha Swami Vaishno Dhaba,Uttam Nagar,77.0671945,28.6197461,North Indian,200,No,No,3.0,6
Scoops,Uttam Nagar,77.0580204,28.6203826,"Beverages, Fast Food",200,No,No,2.8,9
Shah Bakery,Uttam Nagar,77.0612584,28.6185458,"Fast Food, Bakery",400,No,No,3.0,10
Shahi Kachauri Wale,Uttam Nagar,77.03229329999999,28.619237599999998,Street Food,50,No,No,2.8,6
Shahi Kachauri,Uttam Nagar,77.0569411,28.621890399999998,Street Food,50,No,No,2.8,4
Shri Bikaner Sweets,Uttam Nagar,77.0391304,28.6275118,"Fast Food, South Indian, Chinese, Mithai",250,No,No,2.9,4
Shri Krishna Vaishno Dhaba,Uttam Nagar,77.05631140000001,28.6036473,North Indian,300,No,No,3.0,5
Shri Murli Wala,Uttam Nagar,77.0306405,28.6191566,"North Indian, South Indian, Chinese, Street Food",400,No,No,2.8,7
Shri Radha Ki Rasoi,Uttam Nagar,77.0347129,28.6196925,"North Indian, Chinese, South Indian",300,No,No,2.8,6
Singh's Ice Cream Parlour,Uttam Nagar,77.0391763,28.6211282,"Ice Cream, Desserts, Fast Food",200,No,No,3.0,8
Swastik Restaurant,Uttam Nagar,77.0332316,28.6188173,"Chinese, South Indian, North Indian",400,No,Yes,2.7,6
Tanatan Corner,Uttam Nagar,77.0569043,28.621959000000004,North Indian,200,No,No,2.9,7
Tasty Bite,Uttam Nagar,77.03868059999999,28.620034999999998,"North Indian, Chinese",650,No,Yes,2.8,12
Aggarwal Jalebi Wale,Uttam Nagar,77.063507,28.6217187,Street Food,50,No,No,0.0,3
Aggarwal Sweets,Uttam Nagar,77.03020450000001,28.618780600000004,"Mithai, Street Food, North Indian",200,No,No,0.0,3
Arora Pastry Palace,Uttam Nagar,77.0324848,28.619143400000002,"Bakery, Fast Food",100,No,No,0.0,3
Chinese Chatorey Xpress,Uttam Nagar,77.07152590000001,28.6205123,"Chinese, North Indian, Fast Food",250,No,Yes,0.0,2
Chocochill,Uttam Nagar,0.0,0.0,Desserts,250,No,No,0.0,2
Da Pizza Zone,Uttam Nagar,77.0392204,28.626714500000002,"Pizza, Fast Food",600,No,Yes,0.0,2
Food N Shakes,Uttam Nagar,77.06179809999999,28.6199415,"Chinese, Fast Food",250,No,No,0.0,0
Green Chick Chop,Uttam Nagar,77.06089859999999,28.6230789,"Raw Meats, Fast Food",350,No,No,0.0,3
Grover Sweets,Uttam Nagar,77.0638218,28.624212100000005,"Street Food, Chinese",250,No,No,0.0,2
J V's Fried Chicken,Uttam Nagar,77.0346005,28.619403600000002,Fast Food,300,No,Yes,0.0,2
Kamal Chat Bhandar,Uttam Nagar,77.06089859999999,28.617973699999997,Street Food,100,No,No,0.0,3
Khalsa Chicken Corner,Uttam Nagar,77.03756800000001,28.6199262,"North Indian, Mughlai",250,No,No,0.0,2
Lala Da Shudh Vaishno Dhaba,Uttam Nagar,77.05832290000001,28.6224126,North Indian,200,No,No,0.0,1
Madras Cafe,Uttam Nagar,77.05825809999999,28.6189874,South Indian,200,No,No,0.0,3
New China Town,Uttam Nagar,77.0331929,28.6173544,Chinese,300,No,No,0.0,2
Pick & Carry,Uttam Nagar,77.0398501,28.629641200000002,Fast Food,200,No,No,0.0,2
Punjabi Chicken,Uttam Nagar,77.0641627,28.6093206,North Indian,400,No,No,0.0,3
Sandwiches 'N' More,Uttam Nagar,77.0580204,28.618322600000003,"Fast Food, Chinese",250,No,No,0.0,2
Sapna Restaurant,Uttam Nagar,77.0599045,28.6226053,"North Indian, Chinese",200,No,Yes,0.0,3
Sargam Sweets,Uttam Nagar,77.03920179999999,28.6209825,"Desserts, Street Food",150,No,No,0.0,2
Tandoori Theka,Uttam Nagar,77.0485758,28.620633899999998,"Mughlai, North Indian",450,No,Yes,0.0,2
The Darjiling Delicious Chinese Food,Uttam Nagar,77.0608752,28.621162599999998,Chinese,100,No,No,0.0,3
Veg Darbar - The Royal Taste,Uttam Nagar,77.056812,28.622119,"North Indian, Chinese",400,No,No,0.0,3
Veg. Darbar,Uttam Nagar,77.0570523,28.621883899999997,"North Indian, Chinese",400,No,No,0.0,1
Wah Ji Wah,Uttam Nagar,77.0611463,28.623191700000003,North Indian,400,No,Yes,2.4,4
Cafe Coffee Day,"V3S Mall, Laxmi Nagar",77.2869436,28.6373178,Cafe,450,No,No,2.6,33
Chalte Firte Momos,"V3S Mall, Laxmi Nagar",77.2862874,28.636770399999996,"Fast Food, Chinese",300,No,No,2.6,23
Chutneez Restaurant Lounge & Bar,"V3S Mall, Laxmi Nagar",77.28611490000002,28.637031899999997,"North Indian, Chinese, Mughlai",1200,Yes,No,2.7,132
Domino's Pizza,"V3S Mall, Laxmi Nagar",77.2862468,28.6367821,"Pizza, Fast Food",700,No,No,3.4,25
Fattoush,"V3S Mall, Laxmi Nagar",77.28624070000001,28.636875300000003,Lebanese,200,No,No,2.9,5
Keventers,"V3S Mall, Laxmi Nagar",77.28635890000001,28.636838800000003,Beverages,400,No,No,3.3,25
Kutty's South Indian Cafe,"V3S Mall, Laxmi Nagar",77.28593029999999,28.636706699999998,South Indian,250,No,No,3.4,99
Mandrain,"V3S Mall, Laxmi Nagar",77.2870265,28.6369816,Chinese,450,No,No,2.8,7
Nazeer Foods,"V3S Mall, Laxmi Nagar",77.2854132,28.637003000000004,"Mughlai, North Indian",600,No,No,3.4,193
Nirula's Ice Cream,"V3S Mall, Laxmi Nagar",77.28634079999999,28.6368424,"Desserts, Ice Cream",250,No,Yes,3.0,38
Punjabi Tadka,"V3S Mall, Laxmi Nagar",77.2870265,28.6369816,North Indian,400,No,No,2.8,5
